EventYear,Event,Market,PreAvg_USD,PostAvg_USD,Delta_USD,PreAvg_Share,PostAvg_Share,Delta_Share
2016,None,South Korea,6989084580.52,6659718000.0,-329366580.52000046,0.09876422982660646,0.07082405955592475,-0.027940170270681713
2016,None,TOTAL (All markets),547164057.4842085,746882841.2698413,199718783.78563285,0.007722007722007722,0.007936507936507936,0.00021450021450021388
2016,None,China,14895901451.135002,28406924500.0,13511023048.864998,0.21020906594291144,0.3015612087910781,0.09135214284816667
2016,None,United States,1484983271.745,1462580000.0,-22403271.744999886,0.020977980168974716,0.015538754473157834,-0.005439225695816882
2016,None,Hong Kong,21328183687.135002,24989582500.0,3661398812.864998,0.3007829010907343,0.2656009588330529,-0.0351819422576814
2016,None,Singapore,12362153080.345001,12233637500.0,-128515580.34500122,0.1743037030160784,0.1301545691086513,-0.044149133907427085
2016,None,Malaysia,2328636632.46,5336634500.0,3007997867.54,0.032838948366875245,0.05673353670248679,0.023894588335611547
2016,None,Vietnam,416298868.71500003,541834000.0,125535131.28499997,0.005876086754207198,0.0057855076179250085,-9.057913628218988e-05
2016,None,Japan,5722267905.695001,7058031000.0,1335763094.3049994,0.08099508937579178,0.07498898789448216,-0.006006101481309617
2016,None,South Korea,6989084580.52,6659718000.0,-329366580.52000046,0.09876422982660646,0.07082405955592475,-0.027940170270681713
2016,None,TOTAL (All markets),547164057.4842085,746882841.2698413,199718783.78563285,0.007722007722007722,0.007936507936507936,0.00021450021450021388
2016,None,China,14895901451.135002,28406924500.0,13511023048.864998,0.21020906594291144,0.3015612087910781,0.09135214284816667
2016,None,United States,1484983271.745,1462580000.0,-22403271.744999886,0.020977980168974716,0.015538754473157834,-0.005439225695816882
2016,None,Hong Kong,21328183687.135002,24989582500.0,3661398812.864998,0.3007829010907343,0.2656009588330529,-0.0351819422576814
2016,None,Singapore,12362153080.345001,12233637500.0,-128515580.34500122,0.1743037030160784,0.1301545691086513,-0.044149133907427085
2016,None,Malaysia,2328636632.46,5336634500.0,3007997867.54,0.032838948366875245,0.05673353670248679,0.023894588335611547
2016,None,Vietnam,416298868.71500003,541834000.0,125535131.28499997,0.005876086754207198,0.0057855076179250085,-9.057913628218988e-05
2016,None,Japan,5722267905.695001,7058031000.0,1335763094.3049994,0.08099508937579178,0.07498898789448216,-0.006006101481309617
2016,None,South Korea,6989084580.52,6659718000.0,-329366580.52000046,0.09876422982660646,0.07082405955592475,-0.027940170270681713
2016,None,TOTAL (All markets),547164057.4842085,746882841.2698413,199718783.78563285,0.007722007722007722,0.007936507936507936,0.00021450021450021388
2017,None,China,17239442623.895,31457347000.0,14217904376.105,0.23226120351753354,0.3205480775339511,0.08828687401641755
2017,None,United States,1428037291.005,1505604500.0,77567208.99499989,0.019499343187715238,0.015353336699434502,-0.004146006488280736
2017,None,Hong Kong,21648620575.015,25961727000.0,4313106424.985001,0.29317226707965904,0.2645693118390686,-0.028602955240590422
2017,None,Singapore,11252341826.99,11856325500.0,603983673.0100002,0.15325608102374824,0.12086819533606265,-0.032387885687685594
2017,None,Malaysia,2785692189.325,4998409000.0,2212716810.675,0.0374056845124438,0.05104387591366559,0.013638191401221793
2017,None,Vietnam,423479647.52,526701500.0,103221852.48000002,0.005748814321548625,0.005345495050035487,-0.00040331927151313843
2017,None,Japan,6589467443.24,7676479000.0,1087011556.7600002,0.0894851691972118,0.07818308794494071,-0.011302081252271098
2017,None,South Korea,6928830138.02,6738414500.0,-190415638.02000046,0.09451950497789757,0.06866281456679715,-0.02585669041110042
2017,None,TOTAL (All markets),578795196.023608,800913469.3877552,222118273.3641472,0.00784313725490196,0.008163265306122448,0.0003201280512204873
2017,None,China,17239442623.895,31457347000.0,14217904376.105,0.23226120351753354,0.3205480775339511,0.08828687401641755
2017,None,United States,1428037291.005,1505604500.0,77567208.99499989,0.019499343187715238,0.015353336699434502,-0.004146006488280736
2017,None,Hong Kong,21648620575.015,25961727000.0,4313106424.985001,0.29317226707965904,0.2645693118390686,-0.028602955240590422
2017,None,Singapore,11252341826.99,11856325500.0,603983673.0100002,0.15325608102374824,0.12086819533606265,-0.032387885687685594
2017,None,Malaysia,2785692189.325,4998409000.0,2212716810.675,0.0374056845124438,0.05104387591366559,0.013638191401221793
2017,None,Vietnam,423479647.52,526701500.0,103221852.48000002,0.005748814321548625,0.005345495050035487,-0.00040331927151313843
2017,None,Japan,6589467443.24,7676479000.0,1087011556.7600002,0.0894851691972118,0.07818308794494071,-0.011302081252271098
2017,None,South Korea,6928830138.02,6738414500.0,-190415638.02000046,0.09451950497789757,0.06866281456679715,-0.02585669041110042
2017,None,TOTAL (All markets),578795196.023608,800913469.3877552,222118273.3641472,0.00784313725490196,0.008163265306122448,0.0003201280512204873
2017,None,China,17239442623.895,31457347000.0,14217904376.105,0.23226120351753354,0.3205480775339511,0.08828687401641755
2017,None,United States,1428037291.005,1505604500.0,77567208.99499989,0.019499343187715238,0.015353336699434502,-0.004146006488280736
2017,None,Hong Kong,21648620575.015,25961727000.0,4313106424.985001,0.29317226707965904,0.2645693118390686,-0.028602955240590422
2017,None,Singapore,11252341826.99,11856325500.0,603983673.0100002,0.15325608102374824,0.12086819533606265,-0.032387885687685594
2017,None,Malaysia,2785692189.325,4998409000.0,2212716810.675,0.0374056845124438,0.05104387591366559,0.013638191401221793
2017,None,Vietnam,423479647.52,526701500.0,103221852.48000002,0.005748814321548625,0.005345495050035487,-0.00040331927151313843
