進出口別,日期,貨品號列,中文貨名,英文貨名,美元(千元)
出口總值(含復出口),106年,85423100002,處理器及控制器，不論是否併裝有記憶體、轉換器、邏輯電路、放大器、計時器及計時電路或其他電路, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,2452159
出口總值(含復出口),106年,85423200118,光罩式唯讀記憶體晶片之單石數位積體電路晶粒及晶圓, Chips and wafers of monolithic digital integrated circuits with Mask-ROM,167
出口總值(含復出口),106年,85423200127,光罩式唯讀記憶體晶片之單石數位積體電路, Monolithic digital integrated circuits with Mask-ROM,18
出口總值(含復出口),106年,85423200136,光罩式唯讀記憶體晶片之單石積體電路晶粒及晶圓, Chips and wafers of other monolithic integrated circuits with Mask-ROM,113
出口總值(含復出口),106年,85423200145,光罩式唯讀記憶體晶片之單石積體電路, Monolithic integrated circuits with Mask-ROM,13
出口總值(含復出口),106年,85423200154,光罩式唯讀記憶體晶片之混合積體電路晶粒及晶圓, Chips and wafers of hybrid integrated circuits with Mask-ROM,186
出口總值(含復出口),106年,85423200163,光罩式唯讀記憶體晶片之混合積體電路, Hybrid integrated circuits with Mask-ROM,3423
出口總值(含復出口),106年,85423200216,動態隨機存取記憶體積體電路晶粒, Chips of dynamic random access memory integrated circuits (DRAM),2293962
出口總值(含復出口),106年,85423200225,動態隨機存取記憶體積體電路晶圓, Wafers of dynamic random access memory integrated circuits (DRAM),426591
出口總值(含復出口),106年,85423200234,動態隨機存取記憶體積體電路, Dynamic random access memory integrated circuits (DRAM),5763532
出口總值(含復出口),106年,85423200314,靜態隨機存取記憶體積體電路晶粒, Chips of static random access memory integrated circuits (SRAM),30565
出口總值(含復出口),106年,85423200323,靜態隨機存取記憶體積體電路晶圓, Wafers of static random access memory integrated circuits (SRAM),11890
出口總值(含復出口),106年,85423200332,靜態隨機存取記憶體積體電路, Static random access memory integrated circuits (SRAM),232321
出口總值(含復出口),106年,85423200902,其他記憶體, Other memories,1643349
出口總值(含復出口),106年,85423300000,放大器, Amplifiers,74355
出口總值(含復出口),106年,85423900111,其他單石數位積體電路晶粒, Chips of other monolithic digital integrated circuits,12367179
出口總值(含復出口),106年,85423900120,其他單石數位積體電路晶圓, Wafers of other monolithic digital integrated circuits,17569207
出口總值(含復出口),106年,85423900139,其他單石數位積體電路, Other monolithic digital integrated circuits,4692560
出口總值(含復出口),106年,85423900219,其他混合積體電路晶粒及晶圓, Other chips and wafers of hybrid integrated circuits,3216000
出口總值(含復出口),106年,85423900228,其他混合積體電路, Other hybrid integrated circuits,40438976
出口總值(含復出口),106年,85423900905,其他積體電路, Other electronic integrated circuits,1008460
出口總值(含復出口),106年,85429010008,積體電路用引線架, Lead frames for integrated circuits,46728
出口總值(含復出口),106年,85429090001,其他第８５４２節所屬貨品之零件, Other parts of articles of heading No. 8542,36080
出口總值(含復出口),107年,85423100002,處理器及控制器，不論是否併裝有記憶體、轉換器、邏輯電路、放大器、計時器及計時電路或其他電路, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,4681991
出口總值(含復出口),107年,85423200118,光罩式唯讀記憶體晶片之單石數位積體電路晶粒及晶圓, Chips and wafers of monolithic digital integrated circuits with Mask-ROM,32
出口總值(含復出口),107年,85423200127,光罩式唯讀記憶體晶片之單石數位積體電路, Monolithic digital integrated circuits with Mask-ROM,26
出口總值(含復出口),107年,85423200136,光罩式唯讀記憶體晶片之單石積體電路晶粒及晶圓, Chips and wafers of other monolithic integrated circuits with Mask-ROM,163
出口總值(含復出口),107年,85423200145,光罩式唯讀記憶體晶片之單石積體電路, Monolithic integrated circuits with Mask-ROM,0
出口總值(含復出口),107年,85423200154,光罩式唯讀記憶體晶片之混合積體電路晶粒及晶圓, Chips and wafers of hybrid integrated circuits with Mask-ROM,31
出口總值(含復出口),107年,85423200163,光罩式唯讀記憶體晶片之混合積體電路, Hybrid integrated circuits with Mask-ROM,399
出口總值(含復出口),107年,85423200216,動態隨機存取記憶體積體電路晶粒, Chips of dynamic random access memory integrated circuits (DRAM),2679092
出口總值(含復出口),107年,85423200225,動態隨機存取記憶體積體電路晶圓, Wafers of dynamic random access memory integrated circuits (DRAM),239518
出口總值(含復出口),107年,85423200234,動態隨機存取記憶體積體電路, Dynamic random access memory integrated circuits (DRAM),6594437
出口總值(含復出口),107年,85423200314,靜態隨機存取記憶體積體電路晶粒, Chips of static random access memory integrated circuits (SRAM),31760
出口總值(含復出口),107年,85423200323,靜態隨機存取記憶體積體電路晶圓, Wafers of static random access memory integrated circuits (SRAM),3046
出口總值(含復出口),107年,85423200332,靜態隨機存取記憶體積體電路, Static random access memory integrated circuits (SRAM),200518
出口總值(含復出口),107年,85423200902,其他記憶體, Other memories,1682991
出口總值(含復出口),107年,85423300000,放大器, Amplifiers,95487
出口總值(含復出口),107年,85423900111,其他單石數位積體電路晶粒, Chips of other monolithic digital integrated circuits,4402969
出口總值(含復出口),107年,85423900120,其他單石數位積體電路晶圓, Wafers of other monolithic digital integrated circuits,17540808
出口總值(含復出口),107年,85423900139,其他單石數位積體電路, Other monolithic digital integrated circuits,4867304
出口總值(含復出口),107年,85423900219,其他混合積體電路晶粒及晶圓, Other chips and wafers of hybrid integrated circuits,2631229
出口總值(含復出口),107年,85423900228,其他混合積體電路, Other hybrid integrated circuits,48751537
出口總值(含復出口),107年,85423900905,其他積體電路, Other electronic integrated circuits,1408726
出口總值(含復出口),107年,85429010008,積體電路用引線架, Lead frames for integrated circuits,48767
出口總值(含復出口),107年,85429090001,其他第８５４２節所屬貨品之零件, Other parts of articles of heading No. 8542,46124
出口總值(含復出口),108年,85423100002,處理器及控制器，不論是否併裝有記憶體、轉換器、邏輯電路、放大器、計時器及計時電路或其他電路, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,6130224
出口總值(含復出口),108年,85423200118,光罩式唯讀記憶體晶片之單石數位積體電路晶粒及晶圓, Chips and wafers of monolithic digital integrated circuits with Mask-ROM,159
出口總值(含復出口),108年,85423200136,光罩式唯讀記憶體晶片之單石積體電路晶粒及晶圓, Chips and wafers of other monolithic integrated circuits with Mask-ROM,18
出口總值(含復出口),108年,85423200145,光罩式唯讀記憶體晶片之單石積體電路, Monolithic integrated circuits with Mask-ROM,0
出口總值(含復出口),108年,85423200154,光罩式唯讀記憶體晶片之混合積體電路晶粒及晶圓, Chips and wafers of hybrid integrated circuits with Mask-ROM,1
出口總值(含復出口),108年,85423200163,光罩式唯讀記憶體晶片之混合積體電路, Hybrid integrated circuits with Mask-ROM,715
出口總值(含復出口),108年,85423200216,動態隨機存取記憶體積體電路晶粒, Chips of dynamic random access memory integrated circuits (DRAM),3125205
出口總值(含復出口),108年,85423200225,動態隨機存取記憶體積體電路晶圓, Wafers of dynamic random access memory integrated circuits (DRAM),183354
出口總值(含復出口),108年,85423200234,動態隨機存取記憶體積體電路, Dynamic random access memory integrated circuits (DRAM),6241637
出口總值(含復出口),108年,85423200314,靜態隨機存取記憶體積體電路晶粒, Chips of static random access memory integrated circuits (SRAM),49634
出口總值(含復出口),108年,85423200323,靜態隨機存取記憶體積體電路晶圓, Wafers of static random access memory integrated circuits (SRAM),867
